,index,party,color,party_id,yays,nays
1626,3994,glp,#32CD32,6,43,32
1627,3995,glp,#32CD32,6,43,32
1628,3998,SP,#FF0000,1,45,30
1629,4001,Grüne,#008000,4,51,24
1630,4003,BDP,#800020,5,54,21
1631,4004,BDP,#800020,5,43,32
1633,4009,SP,#FF0000,1,51,24
1634,4010,SP,#FF0000,1,44,31
1635,4011,CVP,#FFA500,3,36,39
1636,4013,BDP,#800020,5,43,32
1637,4014,Grüne,#008000,4,45,30
1638,4015,SVP,#006400,0,34,41
1639,4017,Grüne,#008000,4,47,28
1640,4018,Grüne,#008000,4,44,31
1641,4019,glp,#32CD32,6,48,27
1642,4020,glp,#32CD32,6,47,28
1644,4022,BDP,#800020,5,53,22
1645,4023,BDP,#800020,5,50,25
1647,4027,Grüne,#008000,4,47,28
1648,4028,CVP,#FFA500,3,29,46
1650,4030,CVP,#FFA500,3,44,31
